Lines without spaces at the start are ignored
Everything is automatically converted to lowercase also

Recipes are formatted like this:
ItemName | Amount | Row 1 - Row 1 - Row 1 / Row 2 - Row 2 - Row 2 / Row 3 - Row 3 - Row 3

Replacements here (for easier searaches)
=Wooden | Wood
=Iron Ingot | Iron
=Gold Ingot | Gold
=Lapis Lazuli | Lapis
=Panes | Pane
=Glistening | Glistering
=Fence | Wood Fence
=Netherrite | Netherite


/////////////////
//Basic recipes//
/////////////////

 Wood Plank | 4 | Wood
 Stick | 4 | Wood Plank / Wood Plank
 Crafting Table | 1 | Wood Plank - Wood Plank / Wood Plank - Wood Plank
 Furnace | 1 | Cobblestone - Cobblestone - Cobblestone / Cobblestone - - Cobblestone  / Cobblestone - Cobblestone - Cobblestone
 Chest | 1 | Wood Plank - Wood Plank - Wood Plank / Wood Plank - - Wood Plank / Wood Plank - Wood Plank - Wood Plank
 Trapped Chest | 1 | Tripwire Hook - Chest
 Torch | 4 | Coal / Stick
 Lantern | 1 | Iron Nugget - Iron Nugget - Iron Nugget / Iron Nugget - Torch - Iron Nugget / Iron Nugget - Iron Nugget - Iron Nugget
 Soul Torch | 4 | Coal / Stick / Soul Sand
 Soul Lantern | 1 | Iron Nugget - Iron Nugget - Iron Nugget / Iron Nugget - Soul Torch - Iron Nugget / Iron Nugget - Iron Nugget - Iron Nugget

/////////////////////////
//Manufactured recepies//
/////////////////////////

 Glowstone | 1 | Glowstone Dust - Glowstone Dust / Glowstone Dust - Glowstone Dust
 Wool | 1 | String - String / String - String
 TNT | 1 | Gunpowder - Sand - Gunpowder / Sand - Gunpowder - Sand / Gunpowder - Sand - Gunpowder
 Bookshelf | 1 | Wood Plank - Wood Plank - Wood Plank / Book - Book - Book / Wood Plank - Wood Plank - Wood Plank
 Beehive | 1 | Wood Plank - Wood Plank - Wood Plank / Honeycomb - Honeycomb - Honeycomb / Wood Plank - Wood Plank - Wood Plank
 Honeycomb Block | 1 | Honeycomb - Honeycomb / Honeycomb - Honeycomb
 Honey Block | 1 | Honey Bottle - Honey Bottle / Honey Bottle - Honey Bottle
 Nether Wart Block | 1 | Nether Wart - Nether Wart - Nether wart / Nether Wart - Nether Wart - Nether wart / Nether Wart - Nether Wart - Nether wart
 Netherite Ingot | 1 | Gold - Gold - Gold / Gold - Netherite Scrap - Netherite Scrap / Netherite Scrap - Netherite Scrap -
 Chain | 1 | - Iron Nugget - / - Iron - / - Iron Nugget -

 Wood Slab | 6 | Wood Plank - Wood Plank - Wood Plank
 Cobblestone Slab | 6 | Cobblestone - Cobblestone - Cobblestone
 Mossy Cobblestone Slab | 6 | Mossy Cobblestone - Mossy Cobblestone - Mossy Cobblestone
 Stone Slab | 6 | Stone - Stone - Stone
 Smooth Stone Slab | 6 | Smooth Stone - Smooth Stone - Smooth Stone
 Andesite Slab | 6 | Andesite - Andesite - Andesite
 Polished Andesite Slab | 6 | Polished Andesite - Polished Andesite - Polished Andesite
 Diorite Slab | 6 | Diorite - Diorite - Diorite
 Polished Diorite Slab | 6 | Polished Diorite - Polished Diorite - Polished Diorite
 Granite Slab | 6 | Granite - Granite - Granite
 Polished Granite Slab | 6 | Polished Granite - Polished Granite - Polished Granite
 Brick Slab | 6 | Bricks - Bricks - Bricks
 Stone Brick Slab | 6 | Stone Bricks - Stone Bricks - Stone Bricks
 Mossy Stone Brick Slab | 6 | Mossy Stone Bricks - Mossy Stone Bricks - Mossy Stone Bricks
 Sandstone Slab | 6 | Sandstone - Sandstone - Sandstone
 Smooth Sandstone Slab | 6 | Smooth Sandstone - Smooth Sandstone - Smooth Sandstone
 Cut Sandstone Slab | 6 | Cut Sandstone - Cut Sandstone - Cut Sandstone
 Red Sandstone Slab | 6 | Red Sandstone - Red Sandstone - Red Sandstone
 Smooth Red Sandstone Slab | 6 | Smooth Red Sandstone - Smooth Red Sandstone - Smooth Red Sandstone
 Cut Red Sandstone Slab | 6 | Cut Red Sandstone - Cut Red Sandstone - Cut Red Sandstone
 Nether Brick Slab | 6 | Nether Bricks - Nether Bricks - Nether Bricks
 Red Nether Brick Slab | 6 | Red Nether Bricks - Red Nether Bricks - Red Nether Bricks
 Quartz Slab | 6 | Block of Quartz - Block of Quartz - Block of Quartz
 Smooth Quartz Slab | 6 | Smooth Quartz - Smooth Quartz - Smooth Quartz
 Quartz Brick | 4 | Block of Quartz - Block of Quartz / Block of Quartz - Block of Quartz
 Purpur Slab | 6 | Purpur Block - Purpur Block - Purpur Block
 End Stone Brick Slab | 6 | End Stone Bricks - End Stone Bricks - End Stone Bricks

 Wood Stairs | 4 | Wood Plank - - / Wood Plank - Wood Plank - / Wood Plank - Wood Plank - Wood Plank
 Cobblestone Stairs | 4 | Cobblestone - - / Cobblestone - Cobblestone - / Cobblestone - Cobblestone - Cobblestone
 Stone Stairs | 4 | Stone - - / Stone - Stone - / Stone - Stone  - Stone
 Andesite Stairs | 4 | Andesite - - / Andesite - Andesite - / Andesite - Andesite - Andesite
